iter	Passed	Remaining
401	16057	23886
402	16099	23849
403	16141	23812
404	16187	23780
405	16231	23747
406	16272	23709
407	16315	23673
408	16359	23638
409	16401	23602
410	16442	23563
411	16483	23525
412	16531	23496
413	16574	23460
414	16620	23429
415	16666	23396
416	16714	23368
417	16784	23369
418	16846	23360
419	16897	23334
420	16965	23332
421	17020	23312
422	17076	23294
423	17127	23267
424	17179	23242
425	17238	23227
426	17285	23195
427	17334	23166
428	17398	23157
429	17448	23128
430	17498	23100
431	17543	23067
432	17597	23043
433	17645	23012
434	17688	22974
435	17734	22940
436	17783	22910
437	17828	22875
438	17879	22848
439	17926	22815
440	17970	22779
441	18013	22741
442	18052	22698
443	18099	22664
444	18140	22624
445	18182	22584
446	18227	22550
447	18268	22509
448	18311	22471
449	18356	22435
450	18449	22458
451	18524	22458
452	18571	22425
453	18618	22391
454	18670	22363
455	18717	22329
456	18761	22292
457	18811	22261
458	18864	22235
459	18927	22219
460	18980	22192
461	19034	22165
462	19080	22130
463	19145	22115
464	19206	22098
465	19258	22068
466	19302	22030
467	19342	21987
468	19380	21942
469	19419	21898
470	19460	21857
471	19499	21813
472	19537	21768
473	19579	21727
474	19620	21685
475	19659	21642
476	19697	21596
477	19737	21554
478	19777	21511
479	19817	21469
480	19856	21425
481	19896	21382
482	19935	21338
483	19973	21294
484	20015	21253
485	20056	21211
486	20094	21166
487	20136	21126
488	20249	21160
489	20323	21152
490	20363	21110
491	20403	21066
492	20442	21023
493	20481	20979
494	20524	20938
495	20563	20894
496	20601	20850
497	20643	20808
498	20683	20766
499	20722	20722
500	20761	20678
501	20805	20639
502	20844	20595
503	20883	20551
504	20924	20510
505	20967	20470
506	21025	20445
507	21067	20404
508	21107	20361
509	21152	20322
510	21195	20282
511	21237	20241
512	21277	20198
513	21318	20157
514	21361	20116
515	21402	20075
516	21444	20034
517	21485	19991
518	21525	19949
519	21563	19904
520	21601	19860
521	21644	19820
522	21683	19776
523	21721	19732
524	21761	19688
525	21802	19647
526	21842	19604
527	21882	19561
528	21923	19519
529	21962	19475
530	22005	19435
531	22048	19395
532	22093	19357
533	22132	19314
534	22174	19273
535	22218	19233
536	22258	19191
537	22298	19148
538	22338	19106
539	22378	19063
540	22417	19019
541	22458	18977
542	22502	18938
543	22547	18899
544	22587	18857
545	22627	18815
546	22670	18774
547	22709	18731
548	22750	18689
549	22792	18648
550	22833	18606
551	22873	18563
552	22914	18521
553	22957	18481
554	22998	18440
555	23038	18397
556	23105	18376
557	23146	18334
558	23191	18296
559	23237	18257
560	23277	18215
561	23315	18171
562	23364	18135
563	23407	18095
564	23450	18055
565	23491	18013
566	23553	17987
567	23599	17948
568	23643	17909
569	23689	17871
570	23732	17830
571	23775	17790
572	23819	17750
573	23859	17707
574	23900	17665
575	23942	17624
576	23984	17583
577	24023	17539
578	24063	17497
579	24102	17453
580	24143	17411
581	24181	17367
582	24220	17324
583	24261	17282
584	24301	17239
585	24339	17195
586	24377	17151
587	24420	17110
588	24458	17067
589	24497	17023
590	24540	16983
591	24581	16941
592	24619	16897
593	24658	16853
594	24699	16812
595	24738	16769
596	24776	16725
597	24815	16682
598	24854	16638
599	24891	16594
600	24932	16552
601	24973	16510
602	25014	16468
603	25052	16425
604	25091	16381
605	25132	16340
606	25176	16300
607	25222	16261
608	25261	16218
609	25302	16176
610	25341	16134
611	25379	16089
612	25416	16045
613	25458	16004
614	25497	15962
615	25537	15919
616	25577	15877
617	25625	15839
618	25666	15797
619	25707	15756
620	25749	15714
621	25792	15674
622	25849	15642
623	25892	15601
624	25936	15561
625	25978	15520
626	26023	15481
627	26070	15442
628	26112	15401
629	26153	15360
630	26199	15321
631	26240	15279
632	26301	15248
633	26349	15211
634	26392	15170
635	26433	15128
636	26480	15089
637	26521	15048
638	26574	15013
639	26627	14978
640	26674	14939
641	26718	14899
642	26760	14857
643	26807	14818
644	26848	14777
645	26890	14735
646	26935	14695
647	26980	14655
648	27021	14613
649	27067	14574
650	27112	14535
651	27155	14493
652	27198	14452
653	27252	14417
654	27311	14385
655	27352	14343
656	27396	14302
657	27443	14263
658	27485	14222
659	27529	14181
660	27577	14143
661	27619	14101
662	27661	14060
663	27714	14024
664	27760	13984
665	27809	13946
666	27858	13908
667	27903	13868
668	27949	13828
669	27996	13789
670	28041	13749
671	28084	13707
672	28130	13668
673	28173	13627
674	28217	13586
675	28265	13547
676	28311	13507
677	28354	13466
678	28491	13469
679	28616	13466
680	28677	13433
681	28744	13402
682	28808	13371
683	28864	13335
684	28937	13306
685	28996	13272
686	29054	13237
687	29107	13199
688	29178	13170
689	29324	13174
690	29450	13169
691	29524	13140
692	29580	13104
693	29623	13061
694	29667	13019
695	29715	12979
696	29757	12936
697	29805	12895
698	29857	12856
699	29903	12815
700	29943	12772
701	29997	12733
702	30042	12692
703	30090	12651
704	30137	12610
705	30189	12572
706	30237	12531
707	30286	12491
708	30333	12450
709	30380	12409
710	30423	12366
711	30466	12323
712	30523	12286
713	30568	12244
714	30623	12206
715	30674	12167
716	30717	12124
717	30761	12081
718	30809	12040
719	30850	11997
720	30903	11958
721	30947	11916
722	31009	11880
723	31049	11836
724	31094	11794
725	31170	11764
726	31212	11720
727	31259	11679
728	31383	11666
729	31493	11648
730	31546	11608
731	31609	11572
732	31664	11534
733	31714	11493
734	31769	11454
735	31823	11414
736	31870	11373
737	31914	11330
738	31970	11291
739	32022	11251
740	32064	11207
741	32112	11165
742	32156	11122
743	32202	11080
744	32248	11038
745	32291	10994
746	32336	10952
747	32388	10911
748	32436	10869
749	32478	10826
750	32538	10788
751	32583	10745
752	32628	10702
753	32676	10661
754	32727	10620
755	32775	10578
756	32820	10535
757	32864	10492
758	32912	10450
759	32956	10407
760	33006	10366
761	33053	10323
762	33109	10284
763	33155	10241
764	33205	10200
765	33252	10158
766	33305	10117
767	33350	10074
768	33391	10030
769	33432	9986
770	33484	9945
771	33532	9903
772	33574	9859
773	33619	9816
774	33672	9775
775	33721	9733
776	33822	9707
777	33893	9671
778	33953	9632
779	34006	9591
780	34058	9550
781	34102	9506
782	34151	9464
783	34198	9421
784	34250	9380
785	34303	9339
786	34347	9296
787	34390	9252
788	34433	9208
789	34487	9167
790	34534	9124
791	34577	9080
792	34623	9038
793	34673	8995
794	34715	8951
795	34772	8911
796	34815	8867
797	34859	8824
798	34910	8782
799	34957	8739
800	34998	8694
801	35041	8651
802	35088	8608
803	35136	8565
804	35181	8522
805	35232	8480
806	35288	8439
807	35337	8397
808	35390	8355
809	35437	8312
810	35478	8268
811	35525	8225
812	35569	8181
813	35611	8137
814	35656	8093
815	35697	8049
816	35740	8005
817	35787	7962
818	35828	7918
819	35870	7873
820	35923	7832
821	35983	7791
822	36026	7748
823	36071	7704
824	36116	7661
825	36157	7616
826	36200	7572
827	36249	7530
828	36290	7485
829	36335	7442
830	36384	7399
831	36426	7355
832	36470	7311
833	36525	7270
834	36576	7227
835	36630	7185
836	36672	7141
837	36729	7100
838	36773	7056
839	36818	7013
840	36864	6969
841	36908	6925
842	36951	6881
843	36995	6837
844	37041	6794
845	37087	6751
846	37131	6707
847	37173	6663
848	37224	6620
849	37271	6577
850	37314	6533
851	37363	6490
852	37404	6446
853	37461	6404
854	37512	6361
855	37553	6317
856	37596	6273
857	37643	6230
858	37685	6185
859	37730	6142
860	37781	6099
861	37829	6056
862	37876	6012
863	37918	5968
864	37972	5926
865	38018	5882
866	38093	5843
867	38148	5801
868	38192	5757
